"S.NO.","English","Spanish"
482,"Delete my account","Suprimir mi cuenta"
483,"Profile does not exist","Este perfil no existe"
484,"Email","Email"
485,"Date of birth","Fecha de nacimiento"
486,"isImageUpdateNotification",
487,"eventId",
488,"fileUrl",
489,"thumbnail",
490,"filePath",
491,"Phone Number","Número de teléfono"
492,"Add atleast one participant!","Añade por lo menos un contacto al grupo"
493,"Seats has been booked, try lesser number of seats!","Asientos reservados, intenta un numero menor de asientos"
494,"No Event Found","Ningún Evento Encontrado"
495,"Hey,\nI just downloaded SeeYouAll event managment event app,download here the SeeYouAll app and join us! %1$s","Oye,\nacabo de descargar la app de gestión de eventos SeeYouAll,descargate aqui la app y unete! %1$s"
496,"SeeYouAll","SeeYouAll"
497,"Hey,\nI just downloaded SeeYouAll event managment event app,download here the SeeYouAll app and join us! %1$s","Oye,\nacabo de descargar la app de gestión de eventos SeeYouAll. Prueba la app SeeYouAll para compartir eventos."
498,"Can only input 1 to 72 hs!","Valores válidos son entre 1 y 72h!"
499,"End Time can\'t be before current time","La Hora de Finalización no puede ser anterior a la actual"
500,"1-72 hr before an event starts","1-72 hr antes del comienzo de un evento"
501,"<html><body><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer nec odio. Praesent libero. Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris. Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Curabitur sodales ligula in libero.</p> <p><b>Sed dignissim lacinia nunc. Curabitur tortor.</b> Pellentesque nibh. Aenean quam. In sce</p></body></html>",
502,"http://staging.seeyouall.com/download",
503,"Enter location.","Introduce ubicación"
504,"Choose wallpaper form gallery","Elejir un fondo de la galería"
505,"Remove wallpaper","Quitar fondo"
506,"Set wallpaper","Poner fondo"
507,"WAITING","EN ESPERA"
508,"You cannot bring more than 50 guests!","Máximo 50 invitados permitidos"
509,"Navigate","Navegar"
510,"Delete","Borrar"
511,"Options","Opciones"
512,"View chat","Vista chat"
513,"Held on:","En espera:"
514,"Guest Invited:","Invitados:"
515,"Congrats!! Invites were sent!! Click on any guest to share the invite via other apps!!","¡¡FELICIDADES!! ¡¡Las invitaciones han sido enviadas!! Selecciona cualquiera de tus invitados para informarles sobre el evento a traves de otras APPs"
516,"The person with phone number %1$s has invited you to the event \""%2$s\"" Download here the SeeYouAll app to reply your friend if you are going:http://www.seeyouall.com/downloadapp/","La persona con el número de teléfono XXXX te ha invitado al evento XXXX. Descraga la aplicaión de Seeyouall para responder a tu amigo si acudirás XXXX"
517,"Join me at this #SeeYouAll Event!","¡Vente a este Evento #SeeYouAll conmigo!"
518,"System status","Estado del sistema"
519,"couldn\'t connect to server","No se pudo conectar al servidor"
520,"something went wrong","Algo ha fallado"
521,"no internet connection","Sin conexión a internet"
522,"Last synced at:","Última sincronización a las:"
523,"Special Characters not allowed in title","Caracteres especiales no permitidos en el tí­tulo"
524,"Delete group","Borrar grupo"
525,"Are you sure you want to delete this group?","¿Estás seguro de que quieres borrar este grupo?"
526,"Delete Suggestion","Borrar sugerencia"
527,"Are you sure you want to delete this suggestion?","¿Estás seguro de  que quieres borrar esta sugerencia?"
528,"Upload more pics","Añadir más fotos"
529,"Upload more videos","Añadir más videos"
530,"Copy","Copiar"
531,"selected","Seleccionado"
532,"Chat Copied","Chat copiado"
533,"Version","Versión"
534,"Chat is not available yet","El chat no está disponible todavia"
535,"Cancel Event","Cancelar evento"
536,"Select Currency","Seleccionar moneda"
537,"€/persona","€/persona"
538,"$/person","$/persona"
539,"Are you sure you want to cancel this event?","¿Estás seguro de que quieres cancelar el evento?"
540,"RSVP","Confirmación"
541,"are you going?","¿Vas a ir?"
542,"In %1$s days","En %1$s dí­as"
543,"Hours Before","Horas antes"
544,"Font Size","Tamaño de la fuente"
545,"Large","Grande"
546,"Small","Menor"
547,"Medium","Medio"
548,"Changing your number will migrate your account info, Event and Settings. \n\nBefore proceeding, please confirm that you are able to receive SMS or calls at your new number. \n\n In order to change a phone number using a new device, first introduce the new SIM in the new device, then in the old device follow the change number procedure, validate the new phone number, install the app in the new device, open it and verify the new phone number in this new device ","Al cambiar el número, se migrará la información de la cuenta, los eventos y la configuración. \n\n Antes de continuar, verifica que puedes recibir SMS o llamadas en el número nuevo. \n\n Para hacer el cambio de numero en un terminal nuevo, primero introduce la nueva SIM en el nuevo terminal, luego en el viejo terminal sigue el procedimiento de cambio de numero, valida el nuevo numero, instala la app en el terminal nuevo, abrela y verifica el nuevo numero en el terminal nuevo. </string>"
549,"Maximum capacity: %1$s","Máximo número de asistentes: %1$s</string>"
550,"Sunday","Domingo"
551,"Monday","Lunes"
552,"Tuesday","Martes"
553,"Wednesday","Miércoles"
554,"Thursday","Jueves"
555,"Friday","Viernes"
556,"Saturday","Sábado"
557,"Enter date first!","Selecciona primero la fecha de inicio."
558,"Date should be after today!",
559,"%1$s days","%1$s días"
560,"%1$s day","%1$s día"
561,"%1$s hs","%1$s hs"
562,"%1$s min","%1$s min"
563,"%1$s hr","%1$s hr"
564,"RSVP closed","Confirmaciones cerradas"
565,"You haven\'t created any group yet.","Todavía no has creado ningún grupo"
566,"Images","Imágenes"
567,"Videos","Vídeos"
568,"All media","Todos los medios"
569,"No media","No hay medios "
570,"Past event settings","Configuración de eventos pasados"
571,"Show not attended events","Mostrar eventos no asistidos"
572,"Will also show you not attended events","Muestra también los eventos a los que no asistió"
573,"Show cancelled events","Mostrar eventos cancelados"
574,"Will also show you cancelled events","También mostrará eventos cancelados"
575,"Will not show you cancelled events","No muestra eventos cancelados"
576,"You have selected %1$s for rsvp","Has selecionado %1$s"
577,"This file cannot be processed.",
578,"Loading, Please wait!",
579,"Male","Hombre"
580,"Female","Mujer"
581,"in waiting","en espera"
582,"Share using","Comparte usando"
583,"Add events to calendar","Añadir eventos al calendario"
584,"Will add events to your calendar","Añade los eventos a tu calendario"
585,"Will not add events to your calendar","No añade los eventos a tu calendario"
586,"Load More",
587,"Event is not synced with server yet!","El evento no esta sincronizado con el servidor todavia!"
588,"cannot select more than %1$d files",
589,"cannot send message right now. Try again!",
590,"Guest list is hidden by admin.","La lista de invitados esta deshabilitada por el administrador."
591,"Delete","Borrar"
592,"Share","Compartir"
593,"Forward","Reenviar"
594,"Share Image(s)","Comparte Foto(s)!"
595,"Share Video(s)","Comparte Video(s)!"
596,"&#160;file deleted","&#160;Archivo eliminado"
597,"&#160;files deleted","&#160;Archivos eliminados"
598,"Delete Media Files","Borrar Archivos"
599,"Are you sure you want to delete these files?","¿Estás seguro de que quieres borrar estos archivos?"
600,"Image","Imagen"
601,"Video","Vídeo"
602,"Do you want to repeat this event next week at the same day/time and with the same invitees?","¿Deseas repetir este evento la semana que viene, el mismo dia/hora y con los mismos invitados?"
603,"Modify before","Modificar antes"
604,"Yes","Si"
605,"No","No"
606,"New occurrence of the event created sucessfully!! ","¡¡Nueva ocurrencia del evento creada satisfactoriamente!!"
607,"Fails!! Please try another option! ","¡Error! ¡Por favor prueba otra opción!"
608,"Do you want to cancel your changes?","¿Desea cancelar sus cambios?"
609,"Server is operating normally","El servicio esta operando normalmente"
610,"RSVP","¿VAS?"
611,"Phone number not matched!","¡Numero de telefono no corresponde con el actual!"
612,"http://www.seeyouall.com/#!faqs-ingles/c1hvp","http://www.seeyouall.com/#!faqs-espanol/c1bv9"
613,"http://www.seeyouall.com/#!legalnotice/c10ft","http://www.seeyouall.com/#!avisolegal/czp"
614,"http://www.seeyouall.com/#!privacy-police/czp6","http://www.seeyouall.com/#!politicaprivacidad/cdts"
615,"Assigning admin, Please wait!","Asignando administrador ¡Por favor, espera!"
616,"No Invitee","No invitado"
617,"Last date to confirm can\'t be less than 1 hr before start date","Última fecha a confimar debe ser al menos 1h antes de la fecha de comienzo"
618,"Media cannot be downloaded right now. Try again!","Multimedia no se puede descargar en este momento. ¡Inténtalo de nuevo!"
619,"Voting has been closed!","¡Votaciones has sido cerradas!"
620,"Please select suggestion first!","¡Por favor, seleccione sugerencia primero!"
621,"Voting has been closed for this category.","Votaciones estan cerradas para esta categoria"
622,"Profile imported successfully","Perfil importado satisfactoriamente"
623,"Time should be after current time","La hora debe ser posterior a la actual"
624,"You cannot forward content here as event is cancelled.","No es posible reenviar contenido aqui ya que el evento esta cancelado"
625,"You cannot forward content here as chatting is disabled in this event.","No es posible reenviar contenido aqui ya que el chat de este evento esta deshabilitado"
626,"1 contact selected","1 contacto seleccionado"
627,"%d contacts selected","%d contactos seleccionados"
628,"No upcoming events! \n A movie? Some beers? A match? \n Organize your own event and meet \n with your friends in two clicks.","¡Parece que no hay eventos \n próximos! \n ¿Una peli? ¿Unas cañas? ¿Un partido? \n Organiza tu propio plan y queda con \n tus amigos en dos clicks."
629,"Create an event","Crea un evento"
630,"Contact Admin","Contactar Administrador"
631,"SeeYouAll News","Novedades SeeYouAll"
632,"SeeYouAll News","Novedades SeeYouAll"
633,"No News Feed","Ninguna Novedad"
634,"Delete Notification","Borrar Notificación"
635,"Are you sure you want to delete this news?","¿Estas seguro de que quieres borrar esta notificación?"
636,"Ex: Planning my hangouts with SeeYouAll","Ej: Preparando mis quedadas con SeeYouAll"
637,"No files selected","No hay archivos seleccionados"
638,"Cannot share more than %1$d files","No puedes compartir mas de %1$d archivos"
639,"Date:","Fecha:"
640,"Change profile pic","Cambiar foto de perfil"
641,"Current phone number is invalid","El número de telefono no corresponde con el actual"
642,"Will not show you not attended events","No muestra los eventos a los que no se asistió"
643,"(Public)","(Público)"
644,"(Private)","(Privado)"
645,"Not Defined","No especificado."
646,"Other","Otro"
647,"Other gender","Otro"
648,"Only you can view this info.","Solamente tú puedes ver esta información."
649,"Oops! Something went wrong.","¡Vaya! Algo salió mal."
650,"You can\'t RSVP to an event that requires payment because you are using a version of the app that is not supporting payments yet. Please update.","No puedes confirmar tu asistencia a un evento que requiere pago ya que estas usando una version de la app que no soporta pagos todavia. Por favor, actualiza."
651,"ex: Planning my hangouts with SeeYouAll","ej: Preparando mis quedadas con SeeYouAll"
652,"Full name","Nombre y apellidos"
653,"Email","Email"
654,"Ex: Jul 24, 1985","Ej: Jul 24, 1985"
655,"Ex: New York, NY","Ej: Majadahonda, Madrid"
656,"Reset Statistics","Reiniciar las estadísticas"
657,"Do you really want to reset the statistics?","¿Realmente desea restablecer las estadísticas?"
658,"Yes","Si"
659,"No","No"
660,"and","y"
661,"hs","hs"
662,"You're invited to a new event.","Te han invitado a un evento."
663,"Verify your phone number and check if \n you already have invites from your \n friends.","Verifica tu número de teléfono para ver si tus amigos ya te han invitado a algún plan"
664,"We'll send you a sms with your verification code.","Recibirás un sms con un código."
665,"Sorry! you can't mute/unmute as your Alert Setting is OFF in settings","Apenado! no se puede silenciar / activar como su configuración de alerta está en OFF en los ajustes"
666,"Sign Up Failed","Registro fallido"
667,"Device registration failed, we'll keep trying!!","Registro dispositivo falló, vamos a seguir intentando!!"
668,"User Confirmation Failed","Código introducido erróneo"
669,"User profile could not be fetched.","Perfil de usuario no se han podido recuperar."
670,"Data can not be saved in database.","Los datos no se pueden guardar en la base de datos."
671,"Error loading countries.","Países Error al cargar."
672,"Error importing profile from Facebook.","Error al importar el perfil de Facebook."
673,"Request cancelled!","Solicitud cancelado!"
674,"Error updating profile on server.","Error al actualizar el perfil en el servidor."
675,"Resend Code failed","not found"
676,"Error loading","Error de carga"
677,"Terms of Use","Condiciones de uso"
678,"Privacy Policy","Política de privacidad"
679,"PrivacyPolicy","política de privacidad"
680,"Fill contact name.","Llene nombre de contacto."
681,"First name required","Nombre requerido"
682,"Phone Number required","Número de teléfono requiere"
683,"Please enter valid Phone Number","Por favor, introduzca número de teléfono válido"
684,"Device could not be registered on server, please try some time later.","El dispositivo no se pudo registrar en el servidor, por favor trate algún tiempo después."
685,"No Location Service","No Ubicación Servicio"
686,"Could not find location","No se pudo encontrar la ubicación"
687,"No location to be saved","Ningún lugar para ser salvo"
688,"Please enter a Title","Por favor, introduzca un título"
689,"Invitee should be a SeeYouAll user.","Invitado debe ser un SeeYouAll usuario."
690,"Thanks for the rsvp, your request has been submitted. Currently you are in waiting list. We'll notify you soon.","Gracias por el rsvp, su solicitud se ha presentado. Actualmente se encuentra en lista de espera. Le notificaremos pronto."
691,"Are you sure you want to delete your account? This can't be undone.","not found"
692,"Not a SeeYouAll user.","No es un usuario SeeYouAll."
693,"Sorry!","Apenado!"
694,"Are you really want to remove from the guest list all the guests with RSVP MAYBE.","¿Está usted realmente desea eliminar de la lista de invitados a todos los invitados con RSVP PUEDE SER."
695,"Are you really want to remove from the guest list all the guests with RSVP NOT RESPONDED.","¿Está usted realmente desea eliminar de la lista de invitados a todos los invitados con RSVP no ha respondido."
696,"Are you really want to remove from the guest list all the guests with RSVP NOT GOING.","¿Está usted realmente desea eliminar de la lista de invitados a todos los invitados con RSVP NO VOY."
697,"Do you want to discard this event?","¿Quieres descartar este evento?"
698,"No Guests","Sin Invitado"
699,"GOING","ASISTIRÁN"
700,"MAYBE","TAL VEZ ASISTAN"
701,"May be","Tal vez asista"
702,"Event already started, can't perform RSVP now.","El evento ya ha empezado, la confirmación de asistencia ya no es posible."
703,"Event has been cancelled, can't perform RSVP.","Evento ha sido cancelada , no se puede llevar a cabo de RSVP."
704,"MAYBE","Tal vez asista"
705,"NOT GOING","No asistiré"
706,"NOT RESPONDED","No has respondido"
707,"Are you sure you want to cancel event","¿Seguro que desea cancelar evento"
708,"Cancellation cannot be undone.","La cancelación no se puede deshacer."
709,"Please wait until this suggestion is synced with server.","Por favor, espere hasta que esta sugerencia se sincroniza con el servidor."
710,"Please wait until this event is synced with server.","Por favor, espere hasta que este evento se sincroniza con el servidor."
711,"Pay to a friend","Pagar a un amigo"
712,"Hey, \nI just downloaded SeeYouAll event management event app,","Acabo de descargar SeeYouAll evento aplicación de gestión de eventos"
713,"<html><body>Check out <a href=\""seeYouAllApp://\"">SeeYouAll App</a> for sharing events.</body></html>","<html><body>Compruebe ou <a href=\""seeYouAllApp://\"">SeeYouAll solicitud</a> para eventos de intercambio.</body></html>"
714,"Check out SeeYouAll App for sharing events.","Echa un vistazo a SeeYouAll App para eventos de intercambio."
715,"Changing your number will migrate your account info, Event and Settings.\n\nBefore proceeding, please confirm that you are able to receive SMS or calls at your new number.\n\nIn order to change a phone number using a new device, first introduce the new SIM in the new device, then in the old device follow the change number procedure, validate the new phone number, install the app in the new device, open it and verify the new phone number in this new device.","Al cambiar el número, se migrarán la información de cuenta, el evento y la configuración.\n\nAntes de la transformación, confirme por favor que usted es capaz de recibir SMS o llamadas a su número nuevo.\n\nSi tienes un teléfono nuevo y un número nuevo, cambia primero el numero en tu teléfono anterior. your old phone."
716,"Please enter your Current country code and phone number.","Por favor, introduzca el código de país y número de teléfono actual."
717,"Please enter your new country code and phone number.","Por favor, introduzca el código de país y número de teléfono de Nueva."
718,"current phone number","Número de teléfono actual"
719,"Group","El grupo"
720,"updated Successfully.","se ha actualizado correctamente."
721,"created Successfully.","se ha creado correctamente."
722,"new phone number","Nuevo número de teléfono"
723,"Done","Listo"
724,"Country","País"
725,"Number has been changed successfully.","Número se ha cambiado correctamente."
726,"No Network Connection","Sin conexión de red"
727,"IN DEVELOPMENT!!!","EN DESARROLLO!!!"
728,"Are you sure you want change the admin of this event?","¿Seguro que quieres cambiar el admin de este evento"
729,"Please configure email account in device 'Settings'.","Por favor, configure la cuenta de correo electrónico en el dispositivo 'Ajustes'."
730,"Profile updated successfully","Perfil actualizado correctamente"
731,"Success!","éxito!"
732,"This app requires access to your contacts to function properly. Please visit to the \""Privacy\"" section in the iPhone Settings app.","Esta aplicación requiere acceso a sus contactos para que funcione correctamente. Por favor, visite la sección \""Privacidad\"" en la aplicación de configuración de iPhone."
733,"Verification code has\nbeen sent to","Se ha enviado un código\n de verificación a"
734,"Please provide verification token.\n","Proporcione clave de verificación.\n"
735,"Event is cancelled.","Evento fue cancelado."
736,"Admin has currently disabled the chat.","Admin ha deshabilitado la actualidad el chat."
737,"Admin: ","Admin: "
738,"Support Info","Información de soporte"
739,"Model:","Modelo:"
740,"Version:","Versión:"
741,"App Version:","Aplicación Versión:"
742,"Please select a Font size","Por favor, seleccione un tamaÃ±o de fuente"
743,"Take Photo/Video","Hacer foto o grabar vídeo"
744,"Existing Photo/Video","Carrete"
745,"Participant:","Los participante:"
746,"Select Participants...","seleccionar a los participantes..."
747,"Remove Photo","Sacar fotos"
748,"Start","Inicio"
749,"hr","hr"
750,"End","Fin"
751,"No fixed time","No se ha fijado fecha / hora"
752,"No Suggestions","No hay Sugerencias"
753,"Created by Admin","Creado por Admin"
754,"Suggested by You","Sugerida por ti"
755,"A","A"
756,"Error loading file!","Error loading file!"
757,"Congrats!! Invites were sent!!\nYou can also tell your guests about the\nevent via other apps!!","FELICIDADES!! Las invitaciones han sido envidas!! Selecciona cualquiera de tus invitados para informarles sobre el evento a traves de otras APPs"
758,"day","día"
759,"Congrats!! Invites were sent!! Click on any guests to share the invite via other apps!!","FELICIDADES!! Las invitaciones han sido envidas!! Selecciona cualquiera de tus invitados para informarles sobre el evento a traves de otras APPs"
760,"The Person","La persona"
761,"with phone number","con el número de teléfono"
762,"has invited you to the event","te ha invitado al evento"
763,"Download here the SeeYouAll app to reply your friend if you are going:","Descargue aquí la aplicación SeeYouAll para responder a su amigo si usted va:"
764,"Loading...","Cargando..."
765,"This app does not have access to your photos or videos. You can enable access in Privacy Settings.","Esta aplicación no tiene acceso a sus fotos o videos. Puede habilitar el acceso en la configuración de privacidad."
766,"Access Denied","Acceso denegado"
767,"Album Error:","Error Album:"
768,"Error","Error"
769,"Select an Album","Seleccionar un álbum"
770,"Pick Photo","Escoge fotos"
771,"Pick Photos","Elija Fotos"
772,"Only","Sólo"
773,"Remove","Retirar"
774,"photos please!","fotos por favor!"
775,"You can only send","Sólo puede enviar"
776,"photos at a time.","fotos a la vez."
777,"video at a time.","video a la vez."
778,"Starts","Inicio"
779,"Ends","Fin"
780,"Choose Default Icon","Escoger defecto Icono"
781,"per person","por persona"
782,"Number of guests","Número de invitados"
783,"Event you are viewing has been deleted.","Evento que está viendo ha sido borrado."
784,"No SeeYouAll Invitee","No SeeYouAll Invitado"
785,"Enter Location","Introduce ubicación"
786,"Fetching location...","ubicación Fetching..."
787,"Last Date of Confirmation","Última fecha de la Confirmación"
788,"Last date of confirmation: ","Fecha límite de confirmación: "
789,"Block seats for your guests (optional)","Asientos bloqueados para tus invitados (opcional)"
790,"Dresscode (optional)","Dresscode (opcional)"
791,"Start Date (optional)","Fecha de inicio (opcional)"
792,"End Date (optional)","Fecha de finalización (opcional)"
793," Reset Event Date and Time","Restablecer fecha y hora del evento"
794,"Deadline to confirm","Fecha límite para confirmar"
795,"Confirm by:","confirme:"
796,"Select Option","Seleccionar opción"
797,"Send as calender","Enviar como calendario"
798,"Are you sure you want to leave event","¿Seguro que quieres dejar evento"
799,"You do not have internet connection","Usted no tiene conexión a Internet"
800,"not going","No asitiré"
801,"Error performing this action.","Error de realizar esta acción."
802,"Are you sure you want to clear statistics?","¿Seguro que desea borrar las estadísticas"
803,", Audio",", Audio"
804,", Video",", Vídeo"
805,"0 Adult","0 adulto"
806,"0 Child","0 niño"
807,"I have just invited you to a SeeYouAll event called","Acabo de invitarte a un evento SeeYouAll llamado"
808,"download here the SeeYouAll app and join us!","descargate aqui la app y unete!"
809,"© 2016 SeeYouAll\nAll rights reserved.","© 2016 SeeYouAll\nReservados todos los derechos."
810,"ex: Ana's Birthday","ej: Cumpleaños de Ana"
811,"DressCode(optional)","Código de vestimenta"
812,"Change Event Icon\n","Cambiar icono Evento\n"
813,"Add Event Icon\n","Añadir Icono Evento\n"
814,"End date can't be before current time\n","La fecha de finalización no puede ser antes de la hora actual\n"
815,"End time can't be before current time\n","La Hora de Finalización no puede ser anterior a la actual\n"
816,"for rsvp","not found"
817,"Please enter a Title for the event.\n","Por favor, introduzca un título para el evento.\n"
818,"Please fill start date/time as last date of confirmation is not blank.","Por favor, complete la fecha/hora de inicio como última fecha de confirmación no es en blanco."
819,"Invitees must at least have 24 hours to confirm.","Los invitados deben tener al menos 24 horas para confirmar."
820,"Reserved seats can not be more than max seats","Asientos reservados no pueden ser más que asientos max"
821,"Dismiss","Descartar"
822,"Take a new photo","Tomar una nueva foto"
823,"Choose from existing","Escoger entre existente"
824,"Existing icon","icono existente"
825,"Search...","Buscar..."
826,"No contacts yet","No hay contactos todavía"
827,"You haven't created any group yet. Create your own groups by using create group button.","No ha creado ningún grupo todavía. Crea tus propios grupos utilizando botón Crear grupo."
828,"You haven't created any group yet.","No ha creado ningún grupo aún"
829,"Create your own groups\n","Crea tus propios grupos\n\n"
830,"You haven't created any group yet. Create \n your own groups by using create group \n button.","Crea tus propios grupos \n No ha creado ningún grupo todavía. Crea tus propios grupos utilizando botón Crear grupo."
831,"Invalid country","país no válido"
832,"Please fill country code.\n","Por favor, complete el código de país.\n"
833,"Please provide a valid phone number.\n","Por favor provea un número de teléfono válido.\n"
834,"Please Enter Phone Number\n","Por favor, introducir número de teléfono\n"
835,"Current Phone Number is invalid\n","El número de telefono no corresponde con el actual\n"
836,"New phone number is not a valid phone number\n","Un nuevo número de teléfono no es un teléfono válido número\n"
837,"Number is not valid for this country code.\n","El número no es válido para este código de país.\n"
838,"Code sent successfully.","Código envió con éxito."
839,"Event you are editing has been deleted.","Evento que se está editando ha sido borrado."
840,"No upcoming events","No hay próximos eventos"
841,"Are you sure you want to delete event","¿Seguro que quieres borrar evento"
842,"Take Photo","Tomar foto"
843,"Existing Photo","Foto existente"
844,"Search for a map location","Búsqueda de un mapa de localización"
845,"> Share your events with friends","> Comparte tus eventos con tus amigos"
846,"> Customize your experience","> Personaliza tu experiencia"
847,"> Customize your experience","> Personaliza tu experiencia"
848,"> SeeYouAll will never post on Facebook","> SeeYouAll nunca publicará  en Facebook"
849," without your permission.","sin tu permiso."
850,"Personalize your experience","> Personaliza tu experiencia"
851,"Import Profile from Facebook","Importar perfil de Facebook"
852,"No Thanks","No, gracias"
853,"person","persona"
854,"No, Thanks Continue","not found"
855,"Validate phone number","Validar número de teléfono"
856,"Authenticate","Continuar"
857,"By clicking on OK, you agree to the #<ts>Terms of Use# and# you acknowledge you have read the #<pp>Privacy Policy#","Al hacer clic en Aceptar, aceptas los #<ts>términos de uso# y confirmas haber leído la #<pp>política de privacidad#."
858,"By clicking on OK, you agree to the #<ts>Terms of Use# and you# acknowledge you have read the #<pp>Privacy Policy#","Al hacer clic en Aceptar, aceptas los #<ts>términos de uso# y confirmas haber leído la #<pp>política de privacidad#."
